Position,Name,Salary,APPG
PG/SF,LeBron James,11600,55.14
PF/C,Anthony Davis,10800,50.54
C,Nikola Jokic,11000,47.44
PG/SG,Jamal Murray,10000,35.9
PG,Will Barton,9200,31.88
PF/C,Paul Millsap,5800,22.73
SF/PF,Kyle Kuzma,7000,21.74
SF/PF,Jerami Grant,6400,21.06
PG,Rajon Rondo,5400,20.73
SG,Gary Harris,7600,20.34
C,Dwight Howard,3400,19.95
SF/PF,Michael Porter Jr.,8400,19.63
PG,Monte Morris,2800,18.26
SG/SF,Danny Green,4800,18.11
PF/C,Markieff Morris,4400,17.4
C,Mason Plumlee,1800,17.32
C,JaVale McGee,2000,17.28
SG/SF,Kentavious Caldwell-Pope,3000,16.5
PG,Avery Bradley,1000,15.62
PG/SG,Alex Caruso,4000,14.02
SG/SF,Dion Waiters,1000,13.97
PF,Devontae Cacok,1400,13.75
PF/C,Bol Bol,1000,13
SG/SF,Torrey Craig,2400,12.77
SF/PF,Keita Bates-Diop,1000,12.21
SG,Talen Horton-Tucker,1600,11.75
PG/SG,PJ Dozier,1000,11.39
C,Noah Vonleh,1000,9.57
PG,Quinn Cook,1000,8.65
SG,Troy Daniels,1000,6.74
PF,Jared Dudley,1000,4.47
SG/SF,J.R. Smith,1000,4.04
C,Tyler Cook,1000,3.5
PF,Kostas Antetokounmpo,1000,2.65
SF,Vlatko Cancar,1000,2.64
